X;et_x;direct;flip;id_r;g_indicator;indicator;country;ref;DOI;g_desbio;grupo;orden;fam.spe;habitat;et_y;dif;source;manag;coo1;coo2;r_paper;n;p;phen;r_total;n_total;Zr;r_dir;Zr_dir;Var_dir
29;200SHDI;+;no;4_40;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.215595642;60;0.219032413;0.215595642;0.219032413;0.01754386
30;200Urban;-;si;4_43;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.128676154;60;0.129393481;-0.128676154;-0.129393481;0.01754386
31;200Water;+;no;4_46;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.330658795;60;0.34356774;0.330658795;0.34356774;0.01754386
32;500edd;+;no;4_50;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.240830952;60;0.24565604;0.240830952;0.24565604;0.01754386
33;500Fallow;+;no;4_52;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.379619834;60;0.399615398;0.379619834;0.399615398;0.01754386
34;500HN;+;no;4_57;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.028063542;60;0.028070913;0.028063542;0.028070913;0.01754386
35;500Rice;-;si;4_59;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;-0.429641251;60;-0.459456636;0.429641251;0.459456636;0.01754386
36;500Road;+;no;4_62;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.188813904;60;-0.191106939;-0.188813904;-0.191106939;0.01754386
37;500SHDI;+;no;4_65;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.049512357;60;0.049552876;0.049512357;0.049552876;0.01754386
38;500Urban;-;si;4_69;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.099992348;60;-0.100327618;0.099992348;0.100327618;0.01754386
39;500Water;+;no;4_71;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.342106984;60;0.356476853;0.342106984;0.356476853;0.01754386
40;700edd;+;no;4_75;configuration;connectivity;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;0.311594122;60;0.32230998;0.311594122;0.32230998;0.01754386
41;700Fallow;+;no;4_76;composition;transition area;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.360002192;60;0.37688842;0.360002192;0.37688842;0.01754386
42;700HN;+;no;4_81;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.060258184;60;-0.060331277;-0.060258184;-0.060331277;0.01754386
43;700Rice;-;si;4_83;composition;crop-areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;heading;-0.396256735;60;-0.419200562;0.396256735;0.419200562;0.01754386
44;700Road;+;no;4_87;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.093261884;60;-0.093533694;-0.093261884;-0.093533694;0.01754386
45;700SHDI;+;no;4_90;heterogeinity;LU-crop evenness;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.028915201;60;0.028923264;0.028915201;0.028923264;0.01754386
46;700Urban;-;si;4_93;composition;non-crop areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;mid;-0.225352454;60;-0.229287826;0.225352454;0.229287826;0.01754386
47;700Water;+;no;4_94;composition;semi-natural areas;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abu_den;Arthropod;Araneae;NA;terrestrial;spiders;easy;table;NA;NA;NA;NA;NA;NA;max;0.400767826;60;0.424563343;0.400767826;0.424563343;0.01754386
48;Distance to forest (m);-;si;5_1;configuration;proximity;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;Abundance T. extensa;medium;graph;NA;NA;NA;NA;NA;NA;heading;0.200947472;43;0.203719699;-0.200947472;-0.203719699;0.025
49;Distance to forest (m);-;si;5_2;configuration;proximity;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;Abundance T. maxillosa;medium;graph;NA;NA;NA;NA;NA;NA;heading;-0.32899284;41;-0.341698432;0.32899284;0.341698432;0.026315789
50;Ditch width (cm);+;no;5_3;configuration;connectivity;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;Abundance T. maxillosa;medium;graph;NA;NA;NA;NA;NA;NA;heading;0.139475123;38;0.140390246;0.139475123;0.140390246;0.028571429
51;Ditch width (cm);+;no;5_4;configuration;connectivity;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;Abundance T. extensa;medium;graph;NA;NA;NA;NA;NA;NA;heading;0.320490405;42;0.332193556;0.320490405;0.332193556;0.025641026
52;Forest size within 200 m (m2);+;no;6_1;composition;semi-natural areas;japan;Baba et al. - 2018 -;10.1007/s10526-018-9869-5;abu_den;Arthropod;Araneae;Erigoninae;terrestrial;Abundance;easy;graph;EFF;NA;NA;NA;NA;NA;NA;0.11799345;80;0.118545656;0.11799345;0.118545656;0.012987013
53;Core area index;-;si;13_18;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;CLUBIO;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.172965682;28;0.1747222;-0.172965682;-0.1747222;0.04
54;Number patches;+;no;13_61;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;CLUBIO;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.089282844;28;0.089521222;0.089282844;0.089521222;0.04
55;SHDI;+;no;13_118;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;CLUBIO;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.124110383;28;-0.124753578;-0.124110383;-0.124753578;0.04
56;Core area index;-;si;13_42;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;OXYLIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.251316035;28;0.256817076;-0.251316035;-0.256817076;0.04
57;Number patches;+;no;13_85;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;OXYLIN;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.206449642;28;-0.209460072;-0.206449642;-0.209460072;0.04
58;SHDI;+;no;13_125;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;OXYLIN;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.193416336;28;0.195883857;0.193416336;0.195883857;0.04
59;Core area index;-;si;13_43;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;PAEFUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.084666044;28;0.084869224;-0.084666044;-0.084869224;0.04
60;Number patches;+;no;13_86;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;PAEFUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.119508008;28;-0.120081878;-0.119508008;-0.120081878;0.04
61;SHDI;+;no;13_126;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;PAEFUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.323582672;28;0.335643625;0.323582672;0.335643625;0.04
62;Core area index;-;si;13_17;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;SALTIC;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.143991053;28;0.144998761;-0.143991053;-0.144998761;0.04
63;Number patches;+;no;13_93;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;SALTIC;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.34320032;28;-0.357715637;-0.34320032;-0.357715637;0.04
64;SHDI;+;no;13_127;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;SALTIC;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.124229248;28;0.124874304;0.124229248;0.124874304;0.04
65;Core area index;-;si;13_25;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;STAPHY;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.232092966;28;0.236400462;-0.232092966;-0.236400462;0.04
66;Number patches;+;no;13_111;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;STAPHY;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.054416053;28;0.054469859;0.054416053;0.054469859;0.04
67;SHDI;+;no;13_120;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Staphylinidae Gen. spec.;terrestrial;STAPHY;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.043487615;28;-0.04351506;-0.043487615;-0.04351506;0.04
68;Core area index;-;si;13_26;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;STENUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.054997939;28;0.055053492;-0.054997939;-0.055053492;0.04
69;Number patches;+;no;13_112;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;STENUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.166240679;28;0.167797992;0.166240679;0.167797992;0.04
70;SHDI;+;no;13_121;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Stenus spec.;terrestrial;STENUS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.412947644;28;-0.43915966;-0.412947644;-0.43915966;0.04
71;Core area index;-;si;13_57;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;TETRAG;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.185228391;28;-0.187391465;0.185228391;0.187391465;0.04
72;Number patches;+;no;13_71;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;TETRAG;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.2444983;28;-0.249552862;-0.2444983;-0.249552862;0.04
73;SHDI;+;no;13_146;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Tetragnathidae Gen. spec.;terrestrial;TETRAG;easy;table;NA;NA;NA;NA;NA;NA;cropping season;0.284244078;28;0.29229317;0.284244078;0.29229317;0.04
74;Core area index;-;si;13_44;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;THERID;easy;table;NA;NA;NA;NA;NA;NA;cropping season;-0.179165028;28;-0.181119891;0.179165028;0.181119891;0.04
75;Number patches;+;no;13_73;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;THERID;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.354906221;28;-0.371045911;-0.354906221;-0.371045911;0.04
76;SHDI;+;no;13_148;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Theridiae Gen. spec.;terrestrial;THERID;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.168104894;28;-0.169715804;-0.168104894;-0.169715804;0.04
77;Core area index;-;si;13_9;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;THOMIS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.311655928;28;0.322378434;-0.311655928;-0.322378434;0.04
78;Number patches;+;no;13_89;configuration;aggregation;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;THOMIS;easy;table;NA;NA;NA;NA;NA;NA;dry season;-0.192184293;28;-0.194604248;-0.192184293;-0.194604248;0.04
79;SHDI;+;no;13_149;heterogeinity;LU-crop evenness;philippines;Dominik et al. -2022-;10.1002/eap.2560;abu_den;Arthropod;Araneae;Thomisidae Gen. spec.;terrestrial;THOMIS;easy;table;NA;NA;NA;NA;NA;NA;dry season;0.11046797;28;0.110920642;0.11046797;0.110920642;0.04
80;Vegetation cover on bank (%);+;no;11_11;composition;transition area;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Woodland species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;0.490754002;10;0.537053058;0.490754002;0.537053058;0.142857143
81;Vegetation cover on bank (%);+;no;11_10;composition;transition area;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Open land species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;-0.119756203;10;-0.120333677;-0.119756203;-0.120333677;0.142857143
82;Vegetation cover on bank (%);+;no;11_12;composition;transition area;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Wetland species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;-0.271608885;10;-0.278600033;-0.271608885;-0.278600033;0.142857143
83;Vegetation cover on bank (%);+;no;11_9;composition;transition area;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Bush species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;-0.28785843;10;-0.29622963;-0.28785843;-0.29622963;0.142857143
84;Wetland area (m2);+;no;11_17;composition;semi-natural areas;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Wetland species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;0.150019665;30;0.151160554;0.150019665;0.151160554;0.037037037
85;Wetland area (m2);+;no;11_20;composition;semi-natural areas;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Bush species;easy;table;NA;NA;NA;NA;NA;NA;Breeding - May;-0.19016649;30;-0.1925099;-0.19016649;-0.1925099;0.037037037
86;Wetland area (m2);+;no;11_18;composition;semi-natural areas;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Open land species;easy;table;NA;NA;NA;NA;NA;NA;Migrating - August;0.282711408;30;0.290626573;0.282711408;0.290626573;0.037037037
87;Wetland area (m2);+;no;11_19;composition;semi-natural areas;japan;Deguchi et al. -2020 -;10.1007/s10531-020-02023-4;abu_den;Vertebrate;Bird;NA;NA;Abundance Woodland species;easy;table;NA;NA;NA;NA;NA;NA;Wintering - November;-0.44365128;30;-0.476767751;-0.44365128;-0.476767751;0.037037037
88;% of flooded rice fields;-;si;14_1;composition;crop-areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;duck;aquatic;Duck Density - 5 km;easy;coefficient;NA;TYTCHI;NA;0.5;14;0.032;NA;0.5;14;0.549306144;-0.5;-0.549306144;0.090909091
89;% of flooded rice fields (weakly-negatively);-;si;14_2;composition;crop-areas;us;Elphick - 2008 -;10.1675/1524-4695(2008)31;abu_den;Vertebrate;Bird;shorebird;aquatic;Shorebird Density - 10 km;easy;coefficient;NA;TYTCHI;NA;0.424;14;0.067;NA;0.424;14;0.452558716;-0.424;-0.452558716;0.090909091
