X;et_x;direct;flip;id_r;g_indicator;indicator;metric;obs_land;country;ref;DOI;des_bio;g_desbio;grupo;orden;fam.spe;habitat;funct;et_y;dif;source;manag;site_land;coo1;coo2;r_paper;n;p;coef;phen;obs_gen;n_cal;correlacion.x;correlacion.y;num_filas;r_total;r_absoluta;n_total;xy_cero;Zr;VarZr;r_dir;Zr_dir;Var_dir;tax
13;% tree cover;+;no;21_1;composition;semi-natural areas;area;NA;india;Libin Thaikkattil - 2014 -;NA;abundance;abu_den;Vertebrate;Anura;NA;aquatic;predator;Amphibian abundance;easy;graph;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;NA;61;-0.03844164;-0.021036904;61;-0.03844164;0.03844164;61;NA;-0.038460593;0.017241379;-0.03844164;-0.038460593;0.017241379;vertebrate
14;Rice bund width (m);+;no;2_2;configuration;connectivity;lineal;NA;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;shannon;shannon;Arthropod;Araneae;NA;terrestrial;predator;Spiders (No.);easy;graph;NA;paddy;NA;NA;0.576020833;NA;0.8;Pearson;NA;NA;8;0.575418663;0.720844594;8;0.576020833;0.576020833;8;NA;0.656487085;0.2;0.576020833;0.656487085;0.2;invertebrate
15;width of rice bund;+;no;2_6;configuration;connectivity;lineal;NA;bangladesh;Ali et al. - 2020 -;10.1186/s40850-020-00059-1;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;staphylinid beetle;easy;coefficient;NA;paddy;NA;NA;0.322;24;0.481;Pearson;NA;NA;1;NA;NA;1;0.322;0.322;24;NA;0.333876866;0.047619048;0.322;0.333876866;0.047619048;invertebrate
16;1000edd;+;no;4_1;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;0.298849568;0.304712728;60;0.298849568;0.298849568;60;NA;0.308255872;0.01754386;0.298849568;0.308255872;0.01754386;invertebrate
17;1000Fallow;+;no;4_5;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.382581329;0.353486878;60;0.382581329;0.382581329;60;NA;0.403080103;0.01754386;0.382581329;0.403080103;0.01754386;invertebrate
18;1000HN;+;no;4_8;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.167490494;-0.05950111;60;-0.167490494;0.167490494;60;NA;-0.169083603;0.01754386;-0.167490494;-0.169083603;0.01754386;invertebrate
19;1000Rice;-;si;4_11;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.410491226;-0.404942768;60;-0.410491226;0.410491226;60;NA;-0.436201853;0.01754386;0.410491226;0.436201853;0.01754386;invertebrate
20;1000Road;+;no;4_13;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.028977038;0.06084198;60;-0.028977038;0.028977038;60;NA;-0.028985152;0.01754386;-0.028977038;-0.028985152;0.01754386;invertebrate
21;1000SHDI;+;no;4_18;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.123688678;-0.066875896;60;-0.123688678;0.123688678;60;NA;-0.124325299;0.01754386;-0.123688678;-0.124325299;0.01754386;invertebrate
22;1000Urban;-;si;4_21;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.329526234;-0.395221459;60;-0.329526234;0.329526234;60;NA;-0.342296683;0.01754386;0.329526234;0.342296683;0.01754386;invertebrate
23;1000Water;+;no;4_23;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.402182152;0.476869507;60;0.402182152;0.402182152;60;NA;0.426249438;0.01754386;0.402182152;0.426249438;0.01754386;invertebrate
24;200edd;+;no;4_26;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.252226479;0.338009717;60;0.252226479;0.252226479;60;NA;0.257789138;0.01754386;0.252226479;0.257789138;0.01754386;invertebrate
25;200Fallow;+;no;4_28;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.178755702;0.176524937;60;0.178755702;0.178755702;60;NA;0.180697022;0.01754386;0.178755702;0.180697022;0.01754386;invertebrate
26;200HN;+;no;4_31;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.41097343;0.465449531;60;0.41097343;0.41097343;60;NA;0.436781914;0.01754386;0.41097343;0.436781914;0.01754386;invertebrate
27;200Rice;-;si;4_34;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.351664603;-0.358850358;60;-0.351664603;0.351664603;60;NA;-0.367342;0.01754386;0.351664603;0.367342;0.01754386;invertebrate
28;200Road;+;no;4_37;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.225950247;-0.262307712;60;-0.225950247;0.225950247;60;NA;-0.229917691;0.01754386;-0.225950247;-0.229917691;0.01754386;invertebrate
29;200SHDI;+;no;4_40;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.215595642;0.267042339;60;0.215595642;0.215595642;60;NA;0.219032413;0.01754386;0.215595642;0.219032413;0.01754386;invertebrate
30;200Urban;-;si;4_43;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.128676154;0.05816024;60;0.128676154;0.128676154;60;NA;0.129393481;0.01754386;-0.128676154;-0.129393481;0.01754386;invertebrate
31;200Water;+;no;4_46;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.330658795;0.328277946;60;0.330658795;0.330658795;60;si;0.34356774;0.01754386;0.330658795;0.34356774;0.01754386;invertebrate
32;500edd;+;no;4_50;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.240830952;0.282375314;60;0.240830952;0.240830952;60;NA;0.24565604;0.01754386;0.240830952;0.24565604;0.01754386;invertebrate
33;500Fallow;+;no;4_52;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.379619834;0.327675129;60;0.379619834;0.379619834;60;NA;0.399615398;0.01754386;0.379619834;0.399615398;0.01754386;invertebrate
34;500HN;+;no;4_57;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.028063542;0.072406985;60;0.028063542;0.028063542;60;NA;0.028070913;0.01754386;0.028063542;0.028070913;0.01754386;invertebrate
35;500Rice;-;si;4_59;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;-0.429641251;-0.463773443;60;-0.429641251;0.429641251;60;NA;-0.459456636;0.01754386;0.429641251;0.459456636;0.01754386;invertebrate
36;500Road;+;no;4_62;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.188813904;-0.117326133;60;-0.188813904;0.188813904;60;NA;-0.191106939;0.01754386;-0.188813904;-0.191106939;0.01754386;invertebrate
37;500SHDI;+;no;4_65;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.049512357;0.033444878;60;0.049512357;0.049512357;60;NA;0.049552876;0.01754386;0.049512357;0.049552876;0.01754386;invertebrate
38;500Urban;-;si;4_69;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.099992348;-0.049947411;60;-0.099992348;0.099992348;60;NA;-0.100327618;0.01754386;0.099992348;0.100327618;0.01754386;invertebrate
39;500Water;+;no;4_71;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.342106984;0.343428442;60;0.342106984;0.342106984;60;NA;0.356476853;0.01754386;0.342106984;0.356476853;0.01754386;invertebrate
40;700edd;+;no;4_75;configuration;connectivity;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;0.311594122;0.360380779;60;0.311594122;0.311594122;60;NA;0.32230998;0.01754386;0.311594122;0.32230998;0.01754386;invertebrate
41;700Fallow;+;no;4_76;composition;transition area;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.360002192;0.275548804;60;0.360002192;0.360002192;60;NA;0.37688842;0.01754386;0.360002192;0.37688842;0.01754386;invertebrate
42;700HN;+;no;4_81;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.060258184;0.145652014;60;-0.060258184;0.060258184;60;NA;-0.060331277;0.01754386;-0.060258184;-0.060331277;0.01754386;invertebrate
43;700Rice;-;si;4_83;composition;crop-areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;60;-0.396256735;-0.418854295;60;-0.396256735;0.396256735;60;NA;-0.419200562;0.01754386;0.396256735;0.419200562;0.01754386;invertebrate
44;700Road;+;no;4_87;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.093261884;-0.039555668;60;-0.093261884;0.093261884;60;NA;-0.093533694;0.01754386;-0.093261884;-0.093533694;0.01754386;invertebrate
45;700SHDI;+;no;4_90;heterogeinity;LU-crop evenness;index;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.028915201;0.03802522;60;0.028915201;0.028915201;60;NA;0.028923264;0.01754386;0.028915201;0.028923264;0.01754386;invertebrate
46;700Urban;-;si;4_93;composition;non-crop areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;mid;NA;60;-0.225352454;-0.298678813;60;-0.225352454;0.225352454;60;NA;-0.229287826;0.01754386;0.225352454;0.229287826;0.01754386;invertebrate
47;700Water;+;no;4_94;composition;semi-natural areas;area;NA;bangladesh;Ali et al. - 2023 -;10.1038/s41598-023-41786-y;abundance;abu_den;Arthropod;Araneae;NA;terrestrial;predator;spiders;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;max;NA;60;0.400767826;0.418935189;60;0.400767826;0.400767826;60;NA;0.424563343;0.01754386;0.400767826;0.424563343;0.01754386;invertebrate
48;Distance to forest (m);-;si;5_1;configuration;proximity;lineal;NA;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abundance;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;predator;Abundance T. extensa;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;43;0.200947472;0.141346628;43;0.200947472;0.200947472;43;NA;0.203719699;0.025;-0.200947472;-0.203719699;0.025;invertebrate
49;Distance to forest (m);-;si;5_2;configuration;proximity;lineal;NA;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abundance;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;predator;Abundance T. maxillosa;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;41;-0.32899284;-0.424237271;41;-0.32899284;0.32899284;41;NA;-0.341698432;0.026315789;0.32899284;0.341698432;0.026315789;invertebrate
50;Ditch width (cm);+;no;5_3;configuration;connectivity;lineal;NA;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abundance;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;predator;Abundance T. maxillosa;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;38;0.139475123;0.198375252;38;0.139475123;0.139475123;38;NA;0.140390246;0.028571429;0.139475123;0.140390246;0.028571429;invertebrate
51;Ditch width (cm);+;no;5_4;configuration;connectivity;lineal;NA;japan;Baba et al. - 2016 -;10.1016/j.biocontrol.2016.09.004;abundance;abu_den;Arthropod;Araneae;Tetragnathinae;terrestrial;predator;Abundance T. extensa;medium;graph;NA;paddy;NA;NA;NA;NA;NA;NA;heading;NA;42;0.320490405;0.458834769;42;0.320490405;0.320490405;42;NA;0.332193556;0.025641026;0.320490405;0.332193556;0.025641026;invertebrate
52;Forest size within 200 m (m2);+;no;6_1;composition;semi-natural areas;area;NA;japan;Baba et al. - 2018 -;10.1007/s10526-018-9869-5;abundance;abu_den;Arthropod;Araneae;Erigoninae;terrestrial;predator;Abundance;easy;graph;EFF;paddy;NA;NA;NA;NA;NA;NA;NA;Muestreo en julio y agosto de 2012-13;80;0.11799345;0.054440707;80;0.11799345;0.11799345;80;NA;0.118545656;0.012987013;0.11799345;0.118545656;0.012987013;invertebrate
53;Core area index;-;si;13_18;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;predator;CLUBIO;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;cropping season;NA;28;0.172965682;-0.001149822;28;0.172965682;0.172965682;28;si;0.1747222;0.04;-0.172965682;-0.1747222;0.04;invertebrate
54;Number patches;+;no;13_61;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;predator;CLUBIO;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.089282844;0.01725205;28;0.089282844;0.089282844;28;si;0.089521222;0.04;0.089282844;0.089521222;0.04;invertebrate
55;SHDI;+;no;13_118;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Clubionidae Gen. spec.;terrestrial;predator;CLUBIO;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.124110383;-0.146027374;28;-0.124110383;0.124110383;28;si;-0.124753578;0.04;-0.124110383;-0.124753578;0.04;invertebrate
56;Core area index;-;si;13_42;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;predator;OXYLIN;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.251316035;0.269700083;28;0.251316035;0.251316035;28;si;0.256817076;0.04;-0.251316035;-0.256817076;0.04;invertebrate
57;Number patches;+;no;13_85;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;predator;OXYLIN;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.206449642;-0.145546721;28;-0.206449642;0.206449642;28;NA;-0.209460072;0.04;-0.206449642;-0.209460072;0.04;invertebrate
58;SHDI;+;no;13_125;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Oxyopes lineatipes;terrestrial;predator;OXYLIN;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;cropping season;NA;28;0.193416336;-0.001229636;28;0.193416336;0.193416336;28;si;0.195883857;0.04;0.193416336;0.195883857;0.04;invertebrate
59;Core area index;-;si;13_43;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;predator;PAEFUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.084666044;0.020711267;28;0.084666044;0.084666044;28;si;0.084869224;0.04;-0.084666044;-0.084869224;0.04;invertebrate
60;Number patches;+;no;13_86;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;predator;PAEFUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.119508008;-0.040758323;28;-0.119508008;0.119508008;28;si;-0.120081878;0.04;-0.119508008;-0.120081878;0.04;invertebrate
61;SHDI;+;no;13_126;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Paederus fuscipes;terrestrial;predator;PAEFUS;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.323582672;0.420078532;28;0.323582672;0.323582672;28;si;0.335643625;0.04;0.323582672;0.335643625;0.04;invertebrate
62;Core area index;-;si;13_17;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;predator;SALTIC;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;0.143991053;0.116031248;28;0.143991053;0.143991053;28;NA;0.144998761;0.04;-0.143991053;-0.144998761;0.04;invertebrate
63;Number patches;+;no;13_93;configuration;aggregation;lineal;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;predator;SALTIC;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;dry season;NA;28;-0.34320032;-0.42529098;28;-0.34320032;0.34320032;28;si;-0.357715637;0.04;-0.34320032;-0.357715637;0.04;invertebrate
64;SHDI;+;no;13_127;heterogeinity;LU-crop evenness;index;NA;philippines;Dominik et al. -2022-;10.1002/eap.2560;abundance;abu_den;Arthropod;Araneae;Salticidae Gen. spec.;terrestrial;predator;SALTIC;easy;table;NA;paddy;NA;NA;NA;NA;NA;NA;cropping season;NA;28;0.124229248;0.03444037;28;0.124229248;0.124229248;28;NA;0.124874304;0.04;0.124229248;0.124874304;0.04;invertebrate
